Temperatura A,Temperatura B, Diferencia,Voltaje
48.20,25.29,22.91,0.14
48.37,25.29,23.08,0.14
48.54,25.29,23.25,0.14
48.20,26.49,21.71,0.14
48.20,25.29,22.91,0.15
48.20,24.07,24.13,0.14
48.20,24.07,24.13,0.13
48.37,24.07,24.3,0.14
48.02,24.07,23.95,0.14
48.02,25.29,22.73,0.14
48.02,25.29,22.73,0.14
48.02,22.82,25.2,0.13
48.02,24.07,23.95,0.14
47.85,24.07,23.78,0.14
48.02,24.07,23.95,0.14
48.02,24.07,23.95,0.13
47.67,25.29,22.38,0.14
47.85,22.82,25.03,0.14
47.85,25.29,22.56,0.14
47.67,25.29,22.38,0.13
47.85,25.29,22.56,0.13
47.67,24.07,23.6,0.13
47.67,24.07,23.6,0.14
47.67,26.49,21.18,0.14
47.67,22.82,24.85,0.13
47.67,25.29,22.38,0.14
47.67,25.29,22.38,0.13
47.50,24.07,23.43,0.14
47.50,24.07,23.43,0.14
47.50,24.07,23.43,0.13
47.50,24.07,23.43,0.14
47.50,24.07,23.43,0.13
47.50,25.29,22.21,0.14
47.32,24.07,23.25,0.13
47.50,24.07,23.43,0.13
47.14,22.82,24.32,0.14
47.50,24.07,23.43,0.14
47.14,25.29,21.85,0.14
47.14,24.07,23.07,0.13
46.79,24.07,22.72,0.14
46.97,24.07,22.9,0.14
46.97,25.29,21.68,0.14
46.97,25.29,21.68,0.14
46.97,25.29,21.68,0.13
47.14,24.07,23.07,0.14
46.97,24.07,22.9,0.13
46.97,24.07,22.9,0.14
47.14,24.07,23.07,0.14
46.97,24.07,22.9,0.13
46.79,26.49,20.3,0.13
46.79,24.07,22.72,0.13
46.79,25.29,21.5,0.14
46.79,26.49,20.3,0.13
46.97,25.29,21.68,0.13
46.61,22.82,23.79,0.12
46.61,25.29,21.32,0.14
46.79,22.82,23.97,0.13
46.79,24.07,22.72,0.14
46.79,25.29,21.5,0.13
46.61,22.82,23.79,0.13
46.79,25.29,21.5,0.13
46.61,25.29,21.32,0.13
46.61,25.29,21.32,0.13
46.61,25.29,21.32,0.13
46.25,24.07,22.18,0.14
46.25,24.07,22.18,0.13
46.43,25.29,21.14,0.13
46.06,25.29,20.77,0.13
46.25,22.82,23.43,0.14
46.06,25.29,20.77,0.13
46.25,24.07,22.18,0.14
46.43,24.07,22.36,0.14
46.06,24.07,21.99,0.13
46.25,24.07,22.18,0.13
46.25,24.07,22.18,0.13
46.06,22.82,23.24,0.13
45.88,22.82,23.06,0.13
45.88,26.49,19.39,0.12
46.06,24.07,21.99,0.13
46.06,24.07,21.99,0.13
46.06,22.82,23.24,0.13
46.06,21.55,24.51,0.13
45.88,25.29,20.59,0.13
45.88,26.49,19.39,0.14
45.88,24.07,21.81,0.13
46.06,21.55,24.51,0.13
45.88,24.07,21.81,0.13
45.51,25.29,20.22,0.13
45.51,24.07,21.44,0.13
45.70,24.07,21.63,0.13
45.70,24.07,21.63,0.13
45.51,25.29,20.22,0.13
45.70,26.49,19.21,0.13
45.70,24.07,21.63,0.13
45.51,24.07,21.44,0.13
45.51,24.07,21.44,0.13
45.51,25.29,20.22,0.13
45.51,24.07,21.44,0.12
45.51,21.55,23.96,0.13
45.33,22.82,22.51,0.13
45.33,22.82,22.51,0.12
45.51,24.07,21.44,0.14
45.33,21.55,23.78,0.13
45.15,22.82,22.33,0.13
45.15,24.07,21.08,0.12
45.15,24.07,21.08,0.13
45.15,22.82,22.33,0.13
45.15,22.82,22.33,0.13
45.15,24.07,21.08,0.13
45.33,24.07,21.26,0.13
44.96,25.29,19.67,0.13
44.96,21.55,23.41,0.12
44.96,24.07,20.89,0.13
45.33,25.29,20.04,0.13
45.15,24.07,21.08,0.13
44.77,22.82,21.95,0.13
44.96,22.82,22.14,0.13
45.15,25.29,19.86,0.12
44.96,22.82,22.14,0.13
44.77,24.07,20.7,0.13
44.77,22.82,21.95,0.13
44.77,25.29,19.48,0.13
44.77,25.29,19.48,0.12
